event_name,category,city,country,year,venue_name,attendance,duration_days,ticket_price_early_bird,ticket_price_standard,ticket_price_vip,sponsors,speakers,communities_promoted,total_revenue_inr
Tech Event 95 2024,DevOps / Cloud,Chennai,India,2024,Chennai Expo Hall,1025,3,2999,4999,9999,IBM|Oracle|Microsoft|NVIDIA,Sundar Pichai|Sam Altman|Andrew Ng,Startup India|LinkedIn Tech|Kaggle India,5123975
Tech Event 96 2024,Web3 / Blockchain,Delhi,India,2024,Delhi Tech Park,2668,1,1499,1999,9999,Meta|Intel|Databricks|Google,Sam Altman|Andrew Ng|Nandan Nilekani,DevOps India|Crypto India|Kaggle India,5333332
Tech Event 97 2024,Robotics,Ahmedabad,India,2024,Ahmedabad Convention Centre,3670,1,999,1499,9499,NVIDIA|Intel|Polygon|IBM,Martin Kleppmann|Fei-Fei Li|Andrew Ng,Startup India|Kaggle India|AI India,5501330
Tech Event 98 2024,Gaming,Ahmedabad,India,2024,Ahmedabad Hotel Ballroom,495,2,999,2499,5499,Databricks|Meta|IBM|Microsoft,Fei-Fei Li|Andrew Ng|Nandan Nilekani,Discord Devs|Kaggle India|LinkedIn Tech,1237005
Tech Event 99 2024,Robotics,Kolkata,India,2024,Kolkata Auditorium,2136,3,1999,2999,7999,IBM|Microsoft|Meta|Intel,Sundar Pichai|Nandan Nilekani|Sam Altman,DevOps India|Kaggle India|AI India,6405864
Tech Event 100 2024,Healthtech,Ahmedabad,India,2024,Ahmedabad Expo Hall,4538,3,999,1999,9999,AWS|NVIDIA|Cisco|IBM,Kelsey Hightower|Sam Altman|Lex Fridman,AI India|LinkedIn Tech|Startup India,9071462
Tech Event 101 2024,AI/ML,Ahmedabad,India,2024,Ahmedabad Convention Centre,1339,2,2999,4999,7999,Meta|Snowflake|Databricks|Cisco,Andrew Ng|Lex Fridman|Sam Altman,Startup India|AI India|Crypto India,6693661
Tech Event 102 2024,Cybersecurity,Delhi,India,2024,Delhi Convention Centre,766,1,0,1000,4000,Polygon|Databricks|Google|AWS,Martin Kleppmann|Kelsey Hightower|Sundar Pichai,LinkedIn Tech|DevOps India|Discord Devs,766000
Tech Event 103 2024,Cybersecurity,Delhi,India,2024,Delhi Tech Park,2686,3,1499,3499,6499,Cisco|Polygon|IBM|Meta,Martin Kleppmann|Sam Altman|Sundar Pichai,LinkedIn Tech|Crypto India|Kaggle India,9398314
Tech Event 104 2024,ClimateTech,Chennai,India,2024,Chennai Expo Hall,1881,3,1999,2499,5499,NVIDIA|Google|Polygon|IBM,Kelsey Hightower|Martin Kleppmann|Lex Fridman,Startup India|AI India|Kaggle India,4700619
Tech Event 105 2024,DevOps / Cloud,Pune,India,2024,Pune Expo Hall,426,2,0,1500,6500,Cisco|Intel|Meta|Microsoft,Nandan Nilekani|Martin Kleppmann|Lex Fridman,Kaggle India|Startup India|AI India,639000
Tech Event 106 2024,Healthtech,Pune,India,2024,Pune Convention Centre,1951,1,2999,4999,7999,Polygon|Intel|Oracle|IBM,Kelsey Hightower|Lex Fridman|Fei-Fei Li,Discord Devs|Kaggle India|Crypto India,9753049
Tech Event 107 2024,Fintech,Kolkata,India,2024,Kolkata Expo Hall,695,1,1999,2999,7999,Intel|IBM|AWS|NVIDIA,Sam Altman|Martin Kleppmann|Sundar Pichai,LinkedIn Tech|Discord Devs|AI India,2084305
Tech Event 108 2024,ClimateTech,Chennai,India,2024,Chennai Tech Park,1420,3,0,1500,6500,AWS|Oracle|Databricks|Intel,Nandan Nilekani|Kelsey Hightower|Sundar Pichai,AI India|Crypto India|Kaggle India,2130000
Tech Event 109 2024,Cybersecurity,Ahmedabad,India,2024,Ahmedabad Auditorium,4997,1,1999,3999,8999,NVIDIA|IBM|Cisco|Google,Andrew Ng|Fei-Fei Li|Sam Altman,Startup India|Crypto India|AI India,19983003
Tech Event 110 2024,AR/VR,Hyderabad,India,2024,Hyderabad Convention Centre,4288,2,2999,4999,9999,NVIDIA|IBM|Databricks|Intel,Martin Kleppmann|Sam Altman|Sundar Pichai,Discord Devs|Startup India|LinkedIn Tech,21435712
Tech Event 111 2024,Edtech,Hyderabad,India,2024,Hyderabad Expo Hall,2826,3,0,1500,4500,IBM|AWS|Databricks|Meta,Sundar Pichai|Lex Fridman|Kelsey Hightower,DevOps India|AI India|Kaggle India,4239000
Tech Event 112 2024,Healthtech,Mumbai,India,2024,Mumbai Tech Park,1086,3,999,2499,5499,Intel|AWS|Snowflake|Oracle,Sam Altman|Kelsey Hightower|Fei-Fei Li,LinkedIn Tech|Startup India|AI India,2713914
Tech Event 113 2024,AI/ML,Bangalore,India,2024,Bangalore Auditorium,3946,2,1499,1999,4999,Google|Databricks|IBM|AWS,Andrew Ng|Sundar Pichai|Sam Altman,Crypto India|Startup India|Kaggle India,7888054
Tech Event 114 2024,Gaming,Pune,India,2024,Pune Expo Hall,3002,2,1499,2499,10499,IBM|Databricks|NVIDIA|Intel,Fei-Fei Li|Lex Fridman|Andrew Ng,Crypto India|Kaggle India|Discord Devs,7501998
Tech Event 115 2024,Marketing,Pune,India,2024,Pune Hotel Ballroom,1724,3,1999,2499,10499,Cisco|Polygon|Meta|Intel,Nandan Nilekani|Fei-Fei Li|Andrew Ng,AI India|DevOps India|Discord Devs,4308276
Tech Event 116 2024,Marketing,Chennai,India,2024,Chennai Hotel Ballroom,4285,1,1499,2999,5999,Snowflake|Intel|Meta|Microsoft,Fei-Fei Li|Andrew Ng|Sundar Pichai,Startup India|AI India|DevOps India,12850715
Tech Event 117 2024,AR/VR,Pune,India,2024,Pune Auditorium,1215,2,2999,3999,6999,Intel|Google|Cisco|Polygon,Sam Altman|Kelsey Hightower|Andrew Ng,Kaggle India|LinkedIn Tech|DevOps India,4858785
Tech Event 118 2024,Marketing,Chennai,India,2024,Chennai Auditorium,2993,2,1499,2499,7499,Databricks|Snowflake|Intel|AWS,Sam Altman|Kelsey Hightower|Fei-Fei Li,Discord Devs|LinkedIn Tech|Startup India,7479507
Tech Event 119 2024,Fintech,Mumbai,India,2024,Mumbai Hotel Ballroom,2611,2,1999,2999,5999,Google|Oracle|Microsoft|Databricks,Lex Fridman|Sam Altman|Sundar Pichai,Kaggle India|Crypto India|Discord Devs,7830389
Tech Event 120 2024,Web3 / Blockchain,Pune,India,2024,Pune Convention Centre,4407,3,2499,4499,7499,Snowflake|Microsoft|Polygon|Google,Sam Altman|Lex Fridman|Martin Kleppmann,Startup India|DevOps India|LinkedIn Tech,19827093
Tech Event 121 2024,Marketing,Ahmedabad,India,2024,Ahmedabad Tech Park,744,2,2999,3499,8499,Microsoft|Oracle|Google|AWS,Nandan Nilekani|Sam Altman|Kelsey Hightower,Kaggle India|AI India|LinkedIn Tech,2603256
Tech Event 122 2024,Gaming,Chennai,India,2024,Chennai Auditorium,3191,3,1499,2499,7499,Snowflake|Cisco|AWS|Oracle,Kelsey Hightower|Fei-Fei Li|Lex Fridman,LinkedIn Tech|Crypto India|Kaggle India,7974309
Tech Event 123 2024,Fintech,Chennai,India,2024,Chennai Expo Hall,4611,3,1499,1999,4999,Google|Snowflake|Databricks|Cisco,Nandan Nilekani|Sam Altman|Kelsey Hightower,AI India|Kaggle India|Discord Devs,9217389
Tech Event 124 2024,AI/ML,Chennai,India,2024,Chennai Tech Park,3937,3,1499,2999,10999,Cisco|Meta|Databricks|Microsoft,Sam Altman|Martin Kleppmann|Nandan Nilekani,Discord Devs|LinkedIn Tech|Kaggle India,11807063
Tech Event 125 2024,Edtech,Ahmedabad,India,2024,Ahmedabad Hotel Ballroom,2011,1,999,2499,7499,Intel|Databricks|NVIDIA|Microsoft,Kelsey Hightower|Sundar Pichai|Lex Fridman,LinkedIn Tech|Startup India|Discord Devs,5025489
Tech Event 126 2024,Cybersecurity,Ahmedabad,India,2024,Ahmedabad Tech Park,2350,2,999,1999,4999,Polygon|IBM|Microsoft|AWS,Martin Kleppmann|Sundar Pichai|Andrew Ng,Kaggle India|DevOps India|Discord Devs,4697650
Tech Event 127 2024,AR/VR,Chennai,India,2024,Chennai Hotel Ballroom,2063,3,2999,4999,9999,Microsoft|AWS|Intel|Polygon,Kelsey Hightower|Sundar Pichai|Nandan Nilekani,Kaggle India|Startup India|AI India,10312937
Tech Event 128 2024,Web3 / Blockchain,Hyderabad,India,2024,Hyderabad Convention Centre,2666,2,999,2999,5999,Intel|Cisco|Oracle|Microsoft,Lex Fridman|Kelsey Hightower|Sundar Pichai,Startup India|Crypto India|DevOps India,7995334
Tech Event 129 2024,AI/ML,Delhi,India,2024,Delhi Expo Hall,2774,1,2499,3499,11499,NVIDIA|Intel|Microsoft|AWS,Sundar Pichai|Kelsey Hightower|Fei-Fei Li,DevOps India|LinkedIn Tech|Crypto India,9706226
Tech Event 130 2024,DevOps / Cloud,Pune,India,2024,Pune Hotel Ballroom,1915,1,2499,2999,7999,Databricks|Microsoft|Meta|IBM,Kelsey Hightower|Andrew Ng|Sam Altman,AI India|LinkedIn Tech|Discord Devs,5743085
Tech Event 131 2024,ClimateTech,Ahmedabad,India,2024,Ahmedabad Hotel Ballroom,3586,3,999,1499,9499,Intel|Google|AWS|Polygon,Sundar Pichai|Lex Fridman|Fei-Fei Li,Discord Devs|LinkedIn Tech|Kaggle India,5375414
Tech Event 132 2024,DevOps / Cloud,Pune,India,2024,Pune Expo Hall,4980,3,2499,3499,8499,NVIDIA|Meta|IBM|Google,Fei-Fei Li|Martin Kleppmann|Nandan Nilekani,DevOps India|Crypto India|Kaggle India,17425020
Tech Event 133 2024,Robotics,Hyderabad,India,2024,Hyderabad Convention Centre,1696,2,0,1500,4500,Snowflake|Meta|Cisco|AWS,Kelsey Hightower|Sam Altman|Sundar Pichai,Crypto India|DevOps India|Kaggle India,2544000
Tech Event 134 2024,Cybersecurity,Hyderabad,India,2024,Hyderabad Tech Park,2447,2,1999,2499,7499,Snowflake|Databricks|Intel|NVIDIA,Andrew Ng|Sam Altman|Nandan Nilekani,LinkedIn Tech|Kaggle India|Startup India,6115053
Tech Event 135 2024,AR/VR,Kolkata,India,2024,Kolkata Convention Centre,771,2,2999,3499,6499,NVIDIA|Databricks|Oracle|IBM,Sundar Pichai|Martin Kleppmann|Andrew Ng,AI India|Discord Devs|DevOps India,2697729
Tech Event 136 2024,Cybersecurity,Pune,India,2024,Pune Auditorium,4092,2,999,1499,6499,Snowflake|Cisco|Microsoft|NVIDIA,Nandan Nilekani|Fei-Fei Li|Martin Kleppmann,LinkedIn Tech|AI India|DevOps India,6133908
Tech Event 137 2024,Web3 / Blockchain,Mumbai,India,2024,Mumbai Hotel Ballroom,4199,3,1499,1999,9999,Meta|IBM|Databricks|AWS,Nandan Nilekani|Kelsey Hightower|Fei-Fei Li,LinkedIn Tech|Startup India|DevOps India,8393801
Tech Event 138 2024,AR/VR,Bangalore,India,2024,Bangalore Hotel Ballroom,2352,1,1499,2499,10499,NVIDIA|Polygon|Databricks|AWS,Sundar Pichai|Lex Fridman|Kelsey Hightower,Kaggle India|Crypto India|AI India,5877648
Tech Event 139 2024,Gaming,Bangalore,India,2024,Bangalore Convention Centre,4668,1,1499,2499,5499,NVIDIA|Snowflake|Google|Databricks,Fei-Fei Li|Lex Fridman|Andrew Ng,DevOps India|LinkedIn Tech|Discord Devs,11665332
Tech Event 140 2024,Startup,Ahmedabad,India,2024,Ahmedabad Hotel Ballroom,1739,3,2499,2999,7999,Microsoft|IBM|Databricks|Intel,Nandan Nilekani|Martin Kleppmann|Sundar Pichai,Kaggle India|Discord Devs|DevOps India,5215261
Tech Event 141 2024,Cybersecurity,Chennai,India,2024,Chennai Tech Park,1748,1,2999,4999,12999,Polygon|Snowflake|Google|Cisco,Fei-Fei Li|Kelsey Hightower|Andrew Ng,AI India|Kaggle India|LinkedIn Tech,8738252
Tech Event 142 2024,Robotics,Kolkata,India,2024,Kolkata Auditorium,1099,2,2999,3499,11499,Cisco|Intel|Polygon|Databricks,Andrew Ng|Lex Fridman|Sundar Pichai,Crypto India|AI India|DevOps India,3845401
Tech Event 143 2024,Startup,Delhi,India,2024,Delhi Tech Park,857,1,0,1000,9000,Snowflake|Microsoft|Intel|AWS,Nandan Nilekani|Sundar Pichai|Andrew Ng,AI India|Discord Devs|Kaggle India,857000
Tech Event 144 2024,ClimateTech,Hyderabad,India,2024,Hyderabad Tech Park,434,3,1499,2999,7999,Meta|Snowflake|NVIDIA|Polygon,Sundar Pichai|Fei-Fei Li|Martin Kleppmann,Kaggle India|AI India|DevOps India,1301566
Tech Event 145 2024,Cybersecurity,Delhi,India,2024,Delhi Expo Hall,3765,1,999,1499,9499,Google|AWS|NVIDIA|Oracle,Lex Fridman|Sam Altman|Martin Kleppmann,Kaggle India|Startup India|Discord Devs,5643735
Tech Event 146 2024,Healthtech,Mumbai,India,2024,Mumbai Tech Park,3364,2,0,1500,9500,IBM|Google|Polygon|NVIDIA,Fei-Fei Li|Nandan Nilekani|Lex Fridman,DevOps India|LinkedIn Tech|AI India,5046000
Tech Event 147 2024,AI/ML,Bangalore,India,2024,Bangalore Expo Hall,980,2,1499,3499,6499,Cisco|Databricks|AWS|Oracle,Andrew Ng|Sam Altman|Martin Kleppmann,Discord Devs|Crypto India|LinkedIn Tech,3429020
Tech Event 148 2024,AI/ML,Chennai,India,2024,Chennai Expo Hall,4761,2,0,1500,4500,Google|Polygon|IBM|Cisco,Sundar Pichai|Nandan Nilekani|Fei-Fei Li,Discord Devs|DevOps India|Kaggle India,7141500
Tech Event 149 2024,DevOps / Cloud,Ahmedabad,India,2024,Ahmedabad Convention Centre,4710,2,1499,2999,7999,Meta|Intel|Cisco|Databricks,Martin Kleppmann|Nandan Nilekani|Kelsey Hightower,Kaggle India|LinkedIn Tech|Discord Devs,14125290
Tech Event 150 2024,Marketing,Kolkata,India,2024,Kolkata Expo Hall,1241,3,1999,2499,5499,Databricks|IBM|Polygon|AWS,Nandan Nilekani|Sundar Pichai|Sam Altman,Startup India|LinkedIn Tech|Discord Devs,3101259
Tech Event 151 2024,Startup,Bangalore,India,2024,Bangalore Auditorium,3698,1,0,1500,9500,IBM|Microsoft|Databricks|Intel,Sam Altman|Lex Fridman|Fei-Fei Li,LinkedIn Tech|Crypto India|Discord Devs,5547000
Tech Event 152 2024,Marketing,Chennai,India,2024,Chennai Tech Park,1910,2,2999,3999,11999,Google|Microsoft|Databricks|NVIDIA,Kelsey Hightower|Fei-Fei Li|Nandan Nilekani,DevOps India|Kaggle India|Crypto India,7638090
Tech Event 153 2024,ClimateTech,Pune,India,2024,Pune Expo Hall,1067,2,1499,2999,10999,IBM|Snowflake|Polygon|Cisco,Sundar Pichai|Kelsey Hightower|Martin Kleppmann,AI India|Discord Devs|DevOps India,3199933
Tech Event 154 2024,Marketing,Chennai,India,2024,Chennai Hotel Ballroom,446,2,1999,2499,5499,IBM|Microsoft|Oracle|NVIDIA,Lex Fridman|Sundar Pichai|Martin Kleppmann,Discord Devs|AI India|DevOps India,1114554
Tech Event 155 2024,AI/ML,Pune,India,2024,Pune Expo Hall,2606,3,0,2000,5000,Databricks|Cisco|Intel|AWS,Sam Altman|Fei-Fei Li|Martin Kleppmann,LinkedIn Tech|AI India|Startup India,5212000
Tech Event 156 2024,Fintech,Hyderabad,India,2024,Hyderabad Convention Centre,3998,1,2999,3499,8499,Snowflake|IBM|Cisco|Google,Fei-Fei Li|Martin Kleppmann|Andrew Ng,LinkedIn Tech|DevOps India|Crypto India,13989002
Tech Event 157 2024,Healthtech,Mumbai,India,2024,Mumbai Hotel Ballroom,4857,2,2499,4499,7499,NVIDIA|Cisco|IBM|Microsoft,Martin Kleppmann|Lex Fridman|Fei-Fei Li,LinkedIn Tech|AI India|Kaggle India,21851643
Tech Event 158 2024,Startup,Hyderabad,India,2024,Hyderabad Hotel Ballroom,3699,2,2999,3999,8999,Google|IBM|Snowflake|Meta,Andrew Ng|Sundar Pichai|Nandan Nilekani,LinkedIn Tech|Startup India|Kaggle India,14792301
Tech Event 159 2024,DevOps / Cloud,Delhi,India,2024,Delhi Hotel Ballroom,4168,1,2999,4499,12499,AWS|Meta|Polygon|Oracle,Martin Kleppmann|Kelsey Hightower|Sam Altman,Discord Devs|Crypto India|LinkedIn Tech,18751832
Tech Event 160 2024,DevOps / Cloud,Hyderabad,India,2024,Hyderabad Expo Hall,1909,2,2999,4999,12999,Polygon|Databricks|Meta|Microsoft,Andrew Ng|Lex Fridman|Sundar Pichai,Kaggle India|AI India|Discord Devs,9543091
Tech Event 161 2024,AR/VR,Delhi,India,2024,Delhi Convention Centre,1486,3,1999,3499,11499,Cisco|Google|AWS|Databricks,Fei-Fei Li|Sundar Pichai|Andrew Ng,Kaggle India|LinkedIn Tech|Startup India,5199514
Tech Event 162 2024,Web3 / Blockchain,Bangalore,India,2024,Bangalore Convention Centre,770,1,1499,2999,7999,Meta|IBM|Snowflake|Microsoft,Nandan Nilekani|Martin Kleppmann|Sundar Pichai,Kaggle India|LinkedIn Tech|Startup India,2309230
Tech Event 163 2024,ClimateTech,Chennai,India,2024,Chennai Expo Hall,3054,2,1499,2499,10499,Oracle|Polygon|Google|Microsoft,Sundar Pichai|Martin Kleppmann|Kelsey Hightower,DevOps India|Discord Devs|LinkedIn Tech,7631946
Tech Event 164 2024,Edtech,Bangalore,India,2024,Bangalore Auditorium,2028,2,0,2000,10000,Google|NVIDIA|Microsoft|Snowflake,Kelsey Hightower|Andrew Ng|Sam Altman,DevOps India|Kaggle India|AI India,4056000
Tech Event 165 2024,Fintech,Hyderabad,India,2024,Hyderabad Tech Park,4204,3,0,500,3500,Intel|Databricks|Oracle|Polygon,Lex Fridman|Fei-Fei Li|Sundar Pichai,Crypto India|Startup India|DevOps India,2102000
Tech Event 166 2024,Marketing,Kolkata,India,2024,Kolkata Expo Hall,4614,2,999,2499,10499,Meta|Intel|Oracle|Cisco,Martin Kleppmann|Lex Fridman|Fei-Fei Li,Startup India|DevOps India|AI India,11530386
Tech Event 167 2024,Web3 / Blockchain,Chennai,India,2024,Chennai Convention Centre,3138,1,1499,2499,7499,Databricks|Snowflake|NVIDIA|IBM,Nandan Nilekani|Sam Altman|Kelsey Hightower,Discord Devs|Crypto India|AI India,7841862
Tech Event 168 2024,AR/VR,Delhi,India,2024,Delhi Auditorium,3576,3,1999,3999,6999,IBM|Snowflake|NVIDIA|Cisco,Nandan Nilekani|Sam Altman|Sundar Pichai,LinkedIn Tech|DevOps India|Kaggle India,14300424
Tech Event 169 2024,Healthtech,Bangalore,India,2024,Bangalore Expo Hall,4530,1,1499,2499,7499,Cisco|Microsoft|NVIDIA|Google,Andrew Ng|Sundar Pichai|Nandan Nilekani,AI India|Kaggle India|Startup India,11320470
Tech Event 170 2024,AI/ML,Kolkata,India,2024,Kolkata Hotel Ballroom,4353,2,1499,3499,11499,Snowflake|NVIDIA|IBM|Databricks,Andrew Ng|Nandan Nilekani|Kelsey Hightower,Startup India|Discord Devs|Kaggle India,15231147
Tech Event 171 2024,DevOps / Cloud,Mumbai,India,2024,Mumbai Convention Centre,4274,1,1499,2499,7499,NVIDIA|Oracle|Snowflake|Microsoft,Nandan Nilekani|Martin Kleppmann|Kelsey Hightower,Startup India|Crypto India|AI India,10680726
Tech Event 172 2024,Edtech,Bangalore,India,2024,Bangalore Hotel Ballroom,805,3,2999,3999,11999,Oracle|IBM|NVIDIA|Cisco,Lex Fridman|Nandan Nilekani|Sam Altman,DevOps India|Crypto India|Kaggle India,3219195
Tech Event 173 2024,Startup,Chennai,India,2024,Chennai Expo Hall,339,3,999,1499,9499,Meta|AWS|Polygon|Intel,Sundar Pichai|Andrew Ng|Nandan Nilekani,Crypto India|Startup India|Kaggle India,508161
Tech Event 174 2024,AI/ML,Hyderabad,India,2024,Hyderabad Tech Park,4036,2,1499,3499,6499,Meta|Intel|Oracle|Microsoft,Fei-Fei Li|Lex Fridman|Sundar Pichai,Discord Devs|DevOps India|Kaggle India,14121964
Tech Event 175 2024,Healthtech,Pune,India,2024,Pune Convention Centre,3496,1,999,1999,4999,Google|NVIDIA|Snowflake|Microsoft,Nandan Nilekani|Lex Fridman|Fei-Fei Li,Kaggle India|LinkedIn Tech|AI India,6988504
Tech Event 176 2024,Marketing,Kolkata,India,2024,Kolkata Convention Centre,1454,3,999,2999,7999,Databricks|Snowflake|Microsoft|Google,Lex Fridman|Sam Altman|Andrew Ng,DevOps India|Startup India|LinkedIn Tech,4360546
Tech Event 177 2024,Cybersecurity,Ahmedabad,India,2024,Ahmedabad Hotel Ballroom,3292,1,1499,1999,4999,NVIDIA|Meta|Intel|Snowflake,Nandan Nilekani|Kelsey Hightower|Sundar Pichai,LinkedIn Tech|Discord Devs|Startup India,6580708
Tech Event 178 2024,ClimateTech,Hyderabad,India,2024,Hyderabad Hotel Ballroom,3885,1,2499,3999,11999,Intel|Microsoft|IBM|Databricks,Sam Altman|Andrew Ng|Lex Fridman,AI India|Discord Devs|Kaggle India,15536115
Tech Event 179 2024,Gaming,Ahmedabad,India,2024,Ahmedabad Hotel Ballroom,2918,1,0,2000,10000,Microsoft|Polygon|Cisco|Meta,Martin Kleppmann|Andrew Ng|Nandan Nilekani,Discord Devs|Kaggle India|LinkedIn Tech,5836000
Tech Event 180 2024,Marketing,Hyderabad,India,2024,Hyderabad Hotel Ballroom,3780,2,0,1500,4500,Polygon|Meta|Oracle|Cisco,Kelsey Hightower|Andrew Ng|Lex Fridman,AI India|LinkedIn Tech|Crypto India,5670000
Tech Event 181 2024,Web3 / Blockchain,Chennai,India,2024,Chennai Expo Hall,4330,1,999,2499,5499,Databricks|Polygon|Oracle|Microsoft,Sundar Pichai|Martin Kleppmann|Fei-Fei Li,Discord Devs|Startup India|Kaggle India,10820670
Tech Event 182 2024,Fintech,Kolkata,India,2024,Kolkata Convention Centre,2480,3,2499,2999,5999,Microsoft|Google|Polygon|Meta,Kelsey Hightower|Nandan Nilekani|Sam Altman,AI India|Crypto India|DevOps India,7437520
Tech Event 183 2024,Marketing,Delhi,India,2024,Delhi Hotel Ballroom,1519,2,1499,2999,5999,Polygon|IBM|Snowflake|Meta,Fei-Fei Li|Nandan Nilekani|Andrew Ng,Crypto India|LinkedIn Tech|AI India,4555481
Tech Event 184 2024,Startup,Delhi,India,2024,Delhi Tech Park,4817,2,999,1999,6999,NVIDIA|AWS|Polygon|Snowflake,Sam Altman|Sundar Pichai|Lex Fridman,DevOps India|Kaggle India|Discord Devs,9629183
Tech Event 185 2024,DevOps / Cloud,Ahmedabad,India,2024,Ahmedabad Hotel Ballroom,3277,2,0,500,8500,IBM|Polygon|Databricks|Microsoft,Nandan Nilekani|Fei-Fei Li|Martin Kleppmann,LinkedIn Tech|AI India|Crypto India,1638500
Tech Event 186 2024,Robotics,Ahmedabad,India,2024,Ahmedabad Auditorium,1755,3,1499,1999,6999,Google|Intel|Databricks|Meta,Sundar Pichai|Sam Altman|Kelsey Hightower,Kaggle India|Crypto India|Discord Devs,3508245
Tech Event 187 2024,Edtech,Mumbai,India,2024,Mumbai Convention Centre,4442,1,0,2000,5000,Cisco|Polygon|NVIDIA|Snowflake,Kelsey Hightower|Sam Altman|Andrew Ng,AI India|Crypto India|Discord Devs,8884000
Tech Event 188 2024,Fintech,Bangalore,India,2024,Bangalore Convention Centre,338,3,999,1999,6999,Snowflake|Meta|Intel|AWS,Sam Altman|Sundar Pichai|Fei-Fei Li,AI India|Crypto India|Kaggle India,675662
Tech Event 189 2024,Marketing,Mumbai,India,2024,Mumbai Hotel Ballroom,4282,3,1499,2499,10499,Databricks|Snowflake|NVIDIA|Intel,Nandan Nilekani|Martin Kleppmann|Andrew Ng,Startup India|DevOps India|Discord Devs,10700718
Tech Event 190 2024,DevOps / Cloud,Delhi,India,2024,Delhi Auditorium,4350,2,1499,3499,8499,AWS|Databricks|IBM|Intel,Lex Fridman|Nandan Nilekani|Martin Kleppmann,Startup India|DevOps India|LinkedIn Tech,15220650
Tech Event 191 2024,Web3 / Blockchain,Hyderabad,India,2024,Hyderabad Expo Hall,1678,1,2499,4499,9499,AWS|Meta|Cisco|Intel,Martin Kleppmann|Sam Altman|Lex Fridman,LinkedIn Tech|AI India|Discord Devs,7549322
Tech Event 192 2024,Gaming,Pune,India,2024,Pune Auditorium,3584,2,2499,3499,11499,NVIDIA|AWS|Oracle|Intel,Fei-Fei Li|Andrew Ng|Kelsey Hightower,Startup India|LinkedIn Tech|Discord Devs,12540416
Tech Event 193 2024,DevOps / Cloud,Kolkata,India,2024,Kolkata Tech Park,2397,2,0,500,5500,AWS|Oracle|Microsoft|IBM,Andrew Ng|Kelsey Hightower|Martin Kleppmann,Crypto India|AI India|LinkedIn Tech,1198500
Tech Event 194 2024,Gaming,Pune,India,2024,Pune Hotel Ballroom,3348,2,0,2000,10000,AWS|Oracle|Microsoft|Meta,Lex Fridman|Martin Kleppmann|Kelsey Hightower,AI India|Startup India|DevOps India,6696000
Tech Event 195 2024,AR/VR,Chennai,India,2024,Chennai Auditorium,2999,2,2499,3499,6499,Oracle|Meta|Cisco|Snowflake,Sundar Pichai|Fei-Fei Li|Kelsey Hightower,Crypto India|LinkedIn Tech|AI India,10493501
Tech Event 196 2024,Startup,Ahmedabad,India,2024,Ahmedabad Tech Park,1584,1,0,500,8500,Meta|Intel|IBM|Snowflake,Sam Altman|Lex Fridman|Sundar Pichai,Startup India|AI India|Crypto India,792000
Tech Event 197 2024,Fintech,Mumbai,India,2024,Mumbai Auditorium,4771,2,0,2000,10000,Snowflake|Polygon|NVIDIA|Meta,Kelsey Hightower|Sundar Pichai|Nandan Nilekani,Discord Devs|LinkedIn Tech|Startup India,9542000
